timestamp,coin,avg_sentiment_score
2025-07-01,BTC,0.13134
2025-07-01,ETH,0.6808
2025-07-02,BTC,-0.14722857142857143
2025-07-02,ETH,0.7783
2025-07-03,BTC,0.42638
2025-07-03,ETH,0.07350000000000001
2025-07-04,BTC,0.2321
2025-07-04,ETH,0.7184
2025-07-05,BTC,0.7184
2025-07-06,BTC,0.0
2025-07-06,ETH,0.6486
2025-07-07,BTC,0.41913333333333336
2025-07-07,ETH,-0.2732
2025-07-08,BTC,0.38615
2025-07-08,ETH,0.0
2025-07-09,BTC,0.45125
2025-07-09,ETH,0.5106
2025-07-10,BTC,0.3291
2025-07-10,ETH,0.21670000000000003
2025-07-11,BTC,0.0
2025-07-11,ETH,0.2553
2025-07-12,BTC,0.8957
2025-07-12,ETH,0.3182
2025-07-13,BTC,0.07569999999999999
2025-07-13,ETH,-0.4215
2025-07-14,BTC,0.5267
2025-07-14,ETH,0.1621
2025-07-15,BTC,-0.14920000000000003
2025-07-15,ETH,0.7096
2025-07-16,BTC,0.33075
2025-07-16,ETH,0.5994
2025-07-17,BTC,0.2616
2025-07-17,ETH,-0.128
2025-07-18,BTC,0.7096
2025-07-18,ETH,0.3612
2025-07-19,BTC,0.0
2025-07-19,ETH,0.5267
2025-07-20,BTC,0.5574
2025-07-20,ETH,0.2263
2025-07-21,BTC,0.0516
2025-07-21,ETH,0.7003
2025-07-22,BTC,0.01940000000000003
2025-07-22,ETH,-0.2732
2025-07-23,BTC,0.4215
2025-07-23,ETH,0.1027
2025-07-24,BTC,-0.044550000000000034
2025-07-24,ETH,0.7003
2025-07-25,BTC,0.0322
2025-07-25,ETH,0.29295
